Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
290,Indemnity provided to British Airports Authority (BAA) in respect of damage or injury caused to third parties from Borders and Enforcement in their use of vehicles operating airside while transporting immigration officers between airside locations.,2022-04-01,2025-12-01,"£52,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Fault Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.67,2.67, £-   ," £187,000.00 "," £375,000.00 "," £260,000.00 "
291,Indemnity granted in relation to Cyclamen programme up to a maximum ‚¬10m. (Minute dated 17 July 2009). Revalued at GBP/EUR 1.13 24.03.23,2009-07-01,2025-12-01,"£8,801,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Mixed,Mixed,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",16.42,2.67, £-   ," £187,000.00 "," £375,000.00 "," £44,005.00 "
292,Indemnity arising from Riot Damage Costs.,2012-05-01,2025-04-01,"£10,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Inter-Public Sector Indemnity,Other Public Body,Mixed,Mixed,Widespread Damage to Property,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",12.92,2, £-   ," £250,000.00 "," £500,000.00 "," £50,000.00 "
293,"If the Home Office reduces or discontinues its share of the match funding of the expanded ECBCU then it will contribute up to 50% of the resulting costs, for example redundancy payment or property cost.",2019-11-01,2023-11-01,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Decommissioning Indemnity,Public Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",4,0.59, £-   ," £847,000.00 "," £1,695,000.00 "," £5,000.00 "
294,"To indemnify bodies against erroneous data entered on the CIFAS database, resulting in claims lodged against those organisations.",2011-11-01,2023-11-01,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Fault Indemnity,Other Public Body,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Justification of why this is 0,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",12,0.59, £-   ," £847,000.00 "," £1,695,000.00 "," £5,000.00 "
295,Indemnity in respect of the deployment and/or demonstration of NDT by Borders and Enforcement in Europe. Within the scope of this indemnity €œEurope€ is defined as the member states of the Organisation for Security and Co-operation in Europe (OSCE); those North African and Middle Eastern countries with which the OSCE has special relationships.,2003-09-01,2025-12-01,"£20,000,000.00",< £1m,< 1%,0,No,0,Indemnity - International Indemnity,Other Public Body,Mixed,Mixed,No Exposure to Listed Risks,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",22.25,2.67, £-   ," £187,000.00 "," £375,000.00 "," £100,000.00 "
296,The  Jetfoil project was tendered through the CCS framework in December 2021 to supply first a temporary and then a permanent pontoon solution for the disembarking for small boat arrivals at Dover Harbour Jetfoil basin. Indemnity granted to the supplier to protect against damage/loss resulting in pontoon breaking free as a result of extreme weather conditions.,2021-12-01,2025-06-01,"£12,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section F,Section F,Widespread Damage to Property,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.5,2.17, £-   ," £230,000.00 "," £461,000.00 "," £60,000.00 "
297,Redacted due to sensitivity,2022-06-15,2023-12-31,"£15,000,000.00",< £1m,5% to 10%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Will not report on any individual liability or department. Public Report,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.05,0.075,0.1,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",1.54,0.75, £-   ," £667,000.00 "," £1,333,000.00 "," £1,125,000.00 "
298,Coverage of potential damages sustained by the Bailiwicks of Jersey and Guernsey due to activity undertaken under the provisions of the UK-France Maritime Security Treaty,2021-06-24,2050-01-01,"£30,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Inter-Public Sector Indemnity,Other Public Body,Mixed,Mixed,Widespread Loss of Life,Unquantifiable,Remote Core,,Ongoing,N,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",28.52,26.75, £-   ," £19,000.00 "," £37,000.00 "," £150,000.00 "
299,"The Angiolini Inquiry was established on 31 January 2022 to review the circumstances of the abduction, rape and murder of Sarah Everard, and the abuse of power by a serving Metropolitan Police officer that risks undermining public confidence in the police.",2022-01-31,2025-12-01,"£10,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Appointment Indemnity,Individual or Household,Individual or Household,Section O,Increased Legal Liability Costs,Unquantifiable,Remote Core,,Ongoing,N,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",3.83,2.67," £375,000.00 "," £1,124,000.00 "," £1,873,000.00 "," £50,000.00 "
300,Aggregated legal cases,2018-03-06,2028-03-31,"£7,400,000.00",£1m to £5m,> 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Individual or Household,Mixed,Increased Legal Liability Costs,Unquantifiable,Non-remote Core,Multiple legal cases amalgamated for sensitivity reasons,Ongoing,N,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£5m to £10m, £-   ," £500,000.00 "," £1,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",10.07,5," £200,000.00 "," £600,000.00 "," £1,000,000.00 "," £5,550,000.00 "
301," RFL acts as a dormant account fund operator. The Dormant Bank and Building Society Accounts Act 2008 enables banks and building socities that are a part of the scheme to transfer to RFL money that is held in eligible bank and building society accounts which have remained dormant for 15 years or more with no customer transactions. The Act ensures that the right of account holders to reclaim their money, at any time, and that it is protected in perpetuity by transferring the individual's claim against the bank or building society to RFL.",2011-03-01,2143-03-31,"£1,034,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Inter-Public Sector Indemnity,Individual or Household,UK Government,Section K,Major Economic or Financial Downturn,Quantifiable,Remote ALB,"End Date - Per  Dormant Assets Act 2022, person in respect of whom the proceeds are payable would be at least 120 years old to be under scope. Therefore end date calculated as 120 years from reporting date.

Probability - Expected to be highly remote (i.e. <1%), as  contingent on REF not having sufficient net assets.",Ongoing,M,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",132.08,119.99, £-   ," £4,000.00 "," £8,000.00 "," £5,170,000.00 "
302,"The pilot No-Interest Loan Scheme Grant Agreement was signed on 1 September 2021. The loans will support consumers in vulnerable circumstances who would benefit from affordable credit to meet unexpected costs and will provide an alternative to relying on high-cost credit. Fair4All Finance have been appointed to run the pilot and will enter contracts with lenders to deliver the loans, including to provide a partial guarantee against default losses. HM Treasury will reimburse Fair4All Finance for eligible default losses they incur under eligible guarantees.",2021-09-01,2026-03-01,"£10,000,000.00",£1m to £5m,> 50%,0,No,0,Indemnity - Inter-Public Sector Indemnity,Non-profit Institutions Serving Households,Section K,Mixed,Major Economic or Financial Downturn,Quantifiable,Remote Core,"Sector of Beneficiary - Section K (Financial Services) - as per guidance Fair4All fall under services auxilliary to financial services.

Reasonable Worst Case - Capped at £10m per HMT 22-23 ARA.

Estimated Expected Loss and Probability - £1.8m expected lifetime exposure per HMT 22-23 ARA.",Ongoing,M,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0.5,0.75,1,Private,< £1m,£5m to £10m, £-   ," £500,000.00 "," £1,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",4.5,2.92," £342,000.00 "," £1,027,000.00 "," £1,712,000.00 "," £7,500,000.00 "
303,"On 19 January 2009, to effect what is known as quantitative easing, HM Treasury authorised the Bank of England to purchase high quality private sector assets and UK government debt purchased on the secondary market. The government has indemnified the Bank and the Bank of England Asset Purchase Facility Fund (BEAPFF or APF), the fund especially created to implement the facility, from any losses arising out of or in connection with the facility.",2009-01-01,2071-10-22,,> £500m,> 50%,5000000000,No,0,Indemnity - Inter-Public Sector Indemnity,Public Corporation,UK Government,Section K,Major Economic or Financial Downturn,Unquantifiable,Remote Core,"Reasonable Worst Case - As agreed with JD from CLCC on 15/06/23, intentionally blank.

Estimated Expected Loss - >£500m selected as prudent best estimate, given significant uncertainties over future economic events and the size of the indemnity. Per HMT 22-23 ARA, £5bn crystalised to date.

Probability - >50% as payments already being made out under present economic condutions per HMT 22-23 ARA.

End Date - The last Gilt matures 22/10/2071 per BoE Website.",Ongoing,M,2023,Core," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",0.5,0.75,1,Public,£100m to £500m,sensitivity," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £2,000,000,000.00 "," £6,000,000,000.00 "," £10,000,000,000.00 ",62.8,48.56," £10,297,000.00 "," £25,741,000.00 "," £41,186,000.00 ",
304,"The Treasury provides guarantees to the UK oil and gas industry in the form of Decommissioning Relief Deeds. These deeds provide companies with certainty on the level of tax relief they will receive on future decommissioning of North Sea oil fields. Currently there have been no changes to the tax regime that would generate a liability to be paid under any decommissioning relief agreements, of which there were 105 in force at the end of March 2023. HM Treasury may be legally required to make payment against DRD claims where an operator incurs additional decommissioning liabilities due to the default of one of their joint venture partners. As decommissioning takes place over several years, DRD payments are usually required for the length of the decommissioning programme if a DRD claim is considered to be valid by HMT. Claims are generally submitted ex-post.",2013-07-01,2059-12-31,"£11,125,000,000.00",> £500m,> 50%,132000000,No,0,Indemnity - Decommissioning Indemnity,Private Non-financial Corporation,Mixed,Mixed,Increased Legal Liability Costs,Unquantifiable,Remote Core,"End Date - Per latest NSTA UKCS 2022 report (pg36), latest decomissioning date for UK operations expected 2059.

Reasonable Worst Case: 
£11.125bn = £44.5bn *100% of operations *50% JV share*50%Relief

£44.5bn is per NSTA UKCS 2022 report forecast cost of decommissioning UKCS oil and gas infrastructure.

50% reflects HMT maximum exposure to cover joint venturers portion of decomissioning per Finance Act 2013 (c.29) which received Royal Assent on 17 July 2013.

50% relief reflects allowable reliefs in case of default per HMRC OT28701 - Decommissioning and abandonment: decommissioning certainty: decommissioning relief deeds (the company incurring the default costs will obtain RFCT and SC relief equal to 30% and 20% respectively on the default decommissioning expenditure incurred).

",Ongoing,M,2023,Core," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",0.5,0.75,1,Private,£100m to £500m,sensitivity," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £2,000,000,000.00 "," £6,000,000,000.00 "," £10,000,000,000.00 ",46.5,36.75," £13,605,000.00 "," £34,014,000.00 "," £54,422,000.00 "," £8,343,750,000.00 "
305,HM Treasury employees can be called upon to act as a Directors of the various incorporated companies included within the HM Treasury group. HM Treasury has granted Directors an indemnity against any losses or liabilities incurred in the course of their actions whilst the incorporated companies remain in public ownership. The crystallisation of any liability is dependent on the actions of the Directors. HM Treasury has not disclosed the financial effect of Director indemnities because it is not practiable to do so as there is no evidence to evaluate.,2022-04-01,2027-03-31,"£100,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Appointment Indemnity,Individual or Household,Individual or Household,Mixed,No Exposure to Listed Risks,Unquantifiable,Remote Core,"Start Date - Start date of reporting period for which indemnified directors active.

End Date - per HMT Corporate Governance Good Practice Guide in Central Government (2017) - ""Permanent secretaries and other senior officials serving on the board should
normally hold their positions for a term of four years (in line with senior civil service appointments)"". End date therefore selected as 4 years from reporting date for prudence.

Reasonable worst case - Discussed with Jon Day from CLCC 15/06/23. The indemnity has similarities to D&O policies provided to companies in the private sector. D&O insurance typically provides cover to directors and officials of companies for €œwrongful acts€ (i.e. not acting in the interest of the company or negligence). 

Severity: Large D&O claims can be in the order of £100ms. This is supported by public info which provides a sense of scale. Larger claims are possible but for our purposes could be considered beyond a 1 in 100-year type event given the low frequency of such claims. On a absolute maximum exposure basis, the amounts could be far larger and in the order of £bns. For purchase protection/warranty type arrangements the maximum exposure could potentially be based on the size of the transactions/arrangement. Note HMT indemnities are likely to be narrower than that of coverage provided by D&O policies and the claims information includes the US market which tends to be more litigious.

Frequency: There are a low number of D&O claims across the market each year €“ in the order of 100s per year. In a 1 in 100 type scenario, propose 1 large claim or a handful of average claims would be appropriate. 

Proposed reasonable worst-case scenario: HMTRCLDIRIND: 1 in 100 type event: £100m based on the rational above.",Ongoing,M,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5,4, £-   ," £125,000.00 "," £250,000.00 "," £500,000.00 "
